month,branded,generic,branded_share
2022-06-01,2560.0,3790.0,40.3
2022-07-01,3230.0,4160.0,43.7
2022-08-01,5440.0,4790.0,53.2
2022-09-01,3000.0,4200.0,41.7
2022-10-01,3490.0,6500.0,34.9
2022-11-01,2670.0,5620.0,32.2
2022-12-01,2140.0,4680.0,31.4
2023-01-01,2060.0,5090.0,28.8
2023-02-01,2900.0,4800.0,37.7
2023-03-01,2380.0,5030.0,32.1
2023-04-01,2220.0,4550.0,32.8
2023-05-01,1950.0,4600.0,29.8
2023-06-01,1550.0,3950.0,28.2
2023-07-01,1770.0,3460.0,33.8
2023-08-01,2210.0,3710.0,37.3
2023-09-01,1800.0,4010.0,31.0
2023-10-01,2040.0,5600.0,26.7
2023-11-01,2010.0,4350.0,31.6
2023-12-01,1620.0,3550.0,31.3
2024-01-01,2040.0,3880.0,34.5
2024-02-01,2040.0,4130.0,33.1
2024-03-01,1880.0,4040.0,31.8
2024-04-01,1920.0,3340.0,36.5
2024-05-01,1620.0,3150.0,34.0
2024-06-01,1800.0,3240.0,35.7
2024-07-01,1630.0,4550.0,26.4
2024-08-01,1300.0,3890.0,25.0
2024-09-01,1280.0,4070.0,23.9
2024-10-01,1580.0,3990.0,28.4
2024-11-01,1730.0,3680.0,32.0
2024-12-01,2470.0,6800.0,26.6
2025-01-01,9280.0,5210.0,64.0
2025-02-01,2510.0,5040.0,33.2
2025-03-01,2930.0,6950.0,29.7
2025-04-01,3190.0,7270.0,30.5
2025-05-01,3170.0,8060.0,28.2
2025-06-01,2660.0,5370.0,33.1
2025-07-01,2370.0,3960.0,37.4
2025-08-01,2090.0,3610.0,36.7
2025-09-01,1890.0,3790.0,33.3
2025-10-01,2260.0,5130.0,30.6
2025-11-01,2590.0,4730.0,35.4
2025-12-01,2410.0,7730.0,23.8
2026-01-01,2570.0,7950.0,24.4
2026-02-01,2390.0,7230.0,24.8
2026-03-01,2560.0,5410.0,32.1
2026-04-01,2090.0,8850.0,19.1
2026-05-01,2050.0,4580.0,30.9
