keyword,avg_monthly_searches,competition_index,high_top_bid,avg_cpc
tiktok shoppable videos,110,14,148.040289,97.89603
tiktok shop summit,110,11,123.979711,88.574925
tiktok shop partner center,880,11,112.09322,29.859809
tiktok shop for business,390,17,89.879964,12.674274
tiktok shop partnership,390,25,82.552549,42.667814
tiktok shop partner,390,25,82.552549,42.667814
seller center tiktok shop,110,30,74.78425,10.947189
tiktok shop business,140,38,67.983723,9.193446
tiktok shop center,590,23,64.26938,15.257675
tiktok shop desktop,170,9,59.330798,56.890452
tiktok shop global,110,26,57.623228,43.578224
tiktok shop fulfillment,590,9,57.097287,33.541966
tiktok shop us,2900,2,47.623921,8.609658
tiktok shop sales,390,26,41.921511,17.31021
tiktok shop sale,390,26,41.921511,17.31021
tiktok shop desktop streamer,260,7,40.978719,25.127928
bambuser live shopping,110,4,39.339556,6.688381
tiktok shop streamer,320,12,32.883759,16.0344
tiktok shop video,140,16,31.028883,16.894395
tiktok shop affiliate center,390,23,30.667865,11.183705
