keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
ebay live,14800,1600.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",1,2022-06-01,1600
ebay live,14800,590.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",2,2022-07-01,1095
ebay live,14800,590.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",3,2022-08-01,927
ebay live,14800,480.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",4,2022-09-01,553
ebay live,14800,1600.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",5,2022-10-01,890
ebay live,14800,1000.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",6,2022-11-01,1027
ebay live,14800,880.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",7,2022-12-01,1160
ebay live,14800,1000.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",8,2023-01-01,960
ebay live,14800,720.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",9,2023-02-01,867
ebay live,14800,880.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",10,2023-03-01,867
ebay live,14800,1300.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",11,2023-04-01,967
ebay live,14800,1900.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",12,2023-05-01,1360
ebay live,14800,3600.0,"[ 1600   590   590   480  1600  1000   880  1000   720   880  1300  1900
  3600  3600  2900  4400  6600  4400  4400  5400  6600  3600  4400  4400
  5400  6600  6600  8100  9900  8100  8100 12100  9900  9900  9900  9900
  9900 12100 14800 12100 14800 14800 18100 18100 18100 18100 18100 18100]",13,2023-06-01,2267
