month,total_searches,index_value
2022-06-01,1620,100.0
2022-07-01,1580,97.5
2022-08-01,3060,188.9
2022-09-01,2040,125.9
2022-10-01,2420,149.4
2022-11-01,1810,111.7
2022-12-01,1710,105.6
2023-01-01,2090,129.0
2023-02-01,1760,108.6
2023-03-01,1960,121.0
2023-04-01,1680,103.7
2023-05-01,1800,111.1
2023-06-01,1690,104.3
2023-07-01,1670,103.1
2023-08-01,1910,117.9
2023-09-01,2020,124.7
2023-10-01,2610,161.1
2023-11-01,1630,100.6
2023-12-01,1670,103.1
2024-01-01,2370,146.3
2024-02-01,1750,108.0
2024-03-01,1830,113.0
2024-04-01,1530,94.4
2024-05-01,1800,111.1
2024-06-01,2030,125.3
2024-07-01,2870,177.2
2024-08-01,2370,146.3
2024-09-01,2350,145.1
2024-10-01,4460,275.3
2024-11-01,3320,204.9
2024-12-01,2350,145.1
2025-01-01,2800,172.8
2025-02-01,2190,135.2
2025-03-01,2310,142.6
2025-04-01,2440,150.6
2025-05-01,2460,151.9
2025-06-01,2340,144.4
2025-07-01,2540,156.8
2025-08-01,2710,167.3
2025-09-01,2680,165.4
2025-10-01,2740,169.1
2025-11-01,2780,171.6
2025-12-01,3110,192.0
2026-01-01,3440,212.3
2026-02-01,3230,199.4
2026-03-01,3460,213.6
2026-04-01,3850,237.7
2026-05-01,3990,246.3
