platform,month,searches,n_keywords
Whatnot,2022-06-01,30,2
Whatnot,2022-07-01,50,2
Whatnot,2022-08-01,40,2
Whatnot,2022-09-01,30,2
Whatnot,2022-10-01,70,2
Whatnot,2022-11-01,40,2
Whatnot,2022-12-01,50,2
Whatnot,2023-01-01,70,2
Whatnot,2023-02-01,50,2
Whatnot,2023-03-01,60,2
Whatnot,2023-04-01,30,2
Whatnot,2023-05-01,40,2
Whatnot,2023-06-01,30,2
Whatnot,2023-07-01,50,2
Whatnot,2023-08-01,30,2
Whatnot,2023-09-01,30,2
Whatnot,2023-10-01,50,2
Whatnot,2023-11-01,30,2
Whatnot,2023-12-01,30,2
Whatnot,2024-01-01,30,2
Whatnot,2024-02-01,20,2
Whatnot,2024-03-01,40,2
Whatnot,2024-04-01,40,2
Whatnot,2024-05-01,20,2
Whatnot,2024-06-01,20,2
Whatnot,2024-07-01,30,2
Whatnot,2024-08-01,30,2
Whatnot,2024-09-01,20,2
Whatnot,2024-10-01,40,2
Whatnot,2024-11-01,80,2
Whatnot,2024-12-01,150,2
Whatnot,2025-01-01,270,2
Whatnot,2025-02-01,100,2
Whatnot,2025-03-01,100,2
Whatnot,2025-04-01,100,2
Whatnot,2025-05-01,80,2
Whatnot,2025-06-01,60,2
Whatnot,2025-07-01,100,2
Whatnot,2025-08-01,50,2
Whatnot,2025-09-01,60,2
Whatnot,2025-10-01,80,2
Whatnot,2025-11-01,100,2
Whatnot,2025-12-01,100,2
Whatnot,2026-01-01,150,2
Whatnot,2026-02-01,180,2
Whatnot,2026-03-01,160,2
Whatnot,2026-04-01,160,2
Whatnot,2026-05-01,160,2
TikTok,2022-06-01,600,15
TikTok,2022-07-01,1100,15
TikTok,2022-08-01,1000,15
TikTok,2022-09-01,670,15
TikTok,2022-10-01,1400,15
TikTok,2022-11-01,820,15
TikTok,2022-12-01,570,15
TikTok,2023-01-01,620,15
TikTok,2023-02-01,790,15
TikTok,2023-03-01,740,15
TikTok,2023-04-01,610,15
TikTok,2023-05-01,520,15
TikTok,2023-06-01,400,15
TikTok,2023-07-01,480,15
TikTok,2023-08-01,530,15
TikTok,2023-09-01,500,15
TikTok,2023-10-01,610,15
TikTok,2023-11-01,660,15
TikTok,2023-12-01,510,15
TikTok,2024-01-01,860,15
TikTok,2024-02-01,820,15
TikTok,2024-03-01,530,15
TikTok,2024-04-01,620,15
TikTok,2024-05-01,550,15
TikTok,2024-06-01,490,15
TikTok,2024-07-01,480,15
TikTok,2024-08-01,440,15
TikTok,2024-09-01,420,15
TikTok,2024-10-01,550,15
TikTok,2024-11-01,560,15
TikTok,2024-12-01,800,15
TikTok,2025-01-01,1080,15
TikTok,2025-02-01,670,15
TikTok,2025-03-01,590,15
TikTok,2025-04-01,780,15
TikTok,2025-05-01,920,15
TikTok,2025-06-01,790,15
