platform,month,searches,share
Whatnot,2022-06-01,30.0,1.17
Whatnot,2022-07-01,50.0,1.55
Whatnot,2022-08-01,40.0,0.74
Whatnot,2022-09-01,30.0,1.0
Whatnot,2022-10-01,70.0,2.01
Whatnot,2022-11-01,40.0,1.5
Whatnot,2022-12-01,50.0,2.34
Whatnot,2023-01-01,70.0,3.4
Whatnot,2023-02-01,50.0,1.72
Whatnot,2023-03-01,60.0,2.52
Whatnot,2023-04-01,30.0,1.35
Whatnot,2023-05-01,40.0,2.05
Whatnot,2023-06-01,30.0,1.94
Whatnot,2023-07-01,50.0,2.82
Whatnot,2023-08-01,30.0,1.36
Whatnot,2023-09-01,30.0,1.67
Whatnot,2023-10-01,50.0,2.45
Whatnot,2023-11-01,30.0,1.49
Whatnot,2023-12-01,30.0,1.85
Whatnot,2024-01-01,30.0,1.47
Whatnot,2024-02-01,20.0,0.98
Whatnot,2024-03-01,40.0,2.13
Whatnot,2024-04-01,40.0,2.08
Whatnot,2024-05-01,20.0,1.23
Whatnot,2024-06-01,20.0,1.29
Whatnot,2024-07-01,30.0,1.84
Whatnot,2024-08-01,30.0,2.31
Whatnot,2024-09-01,20.0,1.56
Whatnot,2024-10-01,40.0,2.53
Whatnot,2024-11-01,80.0,4.62
Whatnot,2024-12-01,150.0,6.07
Whatnot,2025-01-01,270.0,8.52
Whatnot,2025-02-01,100.0,3.98
Whatnot,2025-03-01,100.0,3.41
Whatnot,2025-04-01,100.0,3.13
Whatnot,2025-05-01,80.0,2.52
Whatnot,2025-06-01,60.0,2.26
Whatnot,2025-07-01,100.0,4.22
Whatnot,2025-08-01,50.0,2.39
Whatnot,2025-09-01,60.0,3.17
Whatnot,2025-10-01,80.0,3.54
Whatnot,2025-11-01,100.0,4.15
Whatnot,2025-12-01,100.0,4.15
Whatnot,2026-01-01,150.0,5.84
Whatnot,2026-02-01,180.0,7.53
Whatnot,2026-03-01,160.0,6.43
Whatnot,2026-04-01,160.0,7.66
Whatnot,2026-05-01,160.0,7.8
TikTok,2022-06-01,600.0,23.44
TikTok,2022-07-01,1100.0,34.06
TikTok,2022-08-01,1000.0,18.38
TikTok,2022-09-01,670.0,22.33
TikTok,2022-10-01,1400.0,40.11
TikTok,2022-11-01,820.0,30.71
TikTok,2022-12-01,570.0,26.64
TikTok,2023-01-01,620.0,30.1
TikTok,2023-02-01,790.0,27.24
TikTok,2023-03-01,740.0,31.09
TikTok,2023-04-01,610.0,27.48
TikTok,2023-05-01,520.0,26.67
TikTok,2023-06-01,400.0,25.81
TikTok,2023-07-01,480.0,27.12
TikTok,2023-08-01,530.0,23.98
TikTok,2023-09-01,500.0,27.78
TikTok,2023-10-01,610.0,29.9
