keyword,avg_monthly_searches,slope,r_squared
whatnot,310917,11696,0.8
whatnot app,37038,1627,0.7
fanatics live,15570,762,0.9
what is a whatnot,8844,490,0.7
tiktok shop seller center,9768,478,0.9
ebay live,7468,380,0.9
is whatnot legit,5613,347,0.7
tiktok shop affiliate program,4625,302,0.8
palmstreet,2732,182,0.8
how to sell on tiktok shop,3542,132,0.6
whatnot com,4390,115,0.9
how to get tiktok shop,2480,82,0.4
tiktok shop streamer desktop,1201,81,0.7
tiktok shop us,2706,79,0.4
how to sell on whatnot,1232,55,0.7
ebay live auction,1289,53,0.8
tiktok shop affiliate marketing,576,47,0.7
whatnot seller fees,1083,38,0.7
whatnot shop,1157,36,0.7
tiktok shopping,2243,35,0.5
whatnot fees,1448,33,0.9
is whatnot app legit,445,33,0.6
selling on whatnot,909,29,0.8
tiktok shop partner center,444,26,1.0
tiktok shop online,508,25,0.6
seller tiktok shop,511,24,0.8
is the whatnot app legit,334,24,0.7
tiktok shop not showing,820,23,0.4
tiktok shop com,675,21,0.5
the tiktok shop,752,20,0.4
whatnot seller,405,18,0.9
tiktok shop center,440,15,0.7
whatnot shopping,282,15,0.7
whatnot website,497,15,0.7
www tiktok shop com,259,14,0.6
whatnot streaming,350,13,0.8
how to start tiktok shop,394,13,0.6
dv live auctions,190,12,0.4
whatnot marketplace,468,12,0.5
tiktok shop sale,240,11,0.7
tiktok shop live,216,11,0.9
tiktok shop near me,234,11,0.9
tiktok shop live stream,140,11,0.6
whatnotapp,218,10,0.8
whatnot store,285,10,0.8
free sample tiktok shop,179,10,0.5
live shopping app,335,10,0.4
tiktok shop affiliate center,185,10,0.8
where is the tiktok shop,360,9,0.4
tiktok shop website,233,9,0.7
how do i get tiktok shop,271,9,0.5
how to sell stuff on tiktok shop,269,9,0.6
whatnot company,587,9,0.6
tiktok shop store,163,9,0.8
tiktok shop streamer,147,9,0.6
tiktok shop dress,215,8,0.5
tiktok shop desktop streamer,104,8,0.8
tiktok shop seller center usa,198,8,0.4
tiktok shop shoes,184,8,0.4
how to do tiktok shop,239,8,0.7
