keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",1,2022-06-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",2,2022-07-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",3,2022-08-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",4,2022-09-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",5,2022-10-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",6,2022-11-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",7,2022-12-01,10
is tiktok shop legit,5400,10.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",8,2023-01-01,10
is tiktok shop legit,5400,20.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",9,2023-02-01,13
is tiktok shop legit,5400,40.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",10,2023-03-01,23
is tiktok shop legit,5400,140.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",11,2023-04-01,67
is tiktok shop legit,5400,170.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",12,2023-05-01,117
is tiktok shop legit,5400,210.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",13,2023-06-01,173
is tiktok shop legit,5400,480.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",14,2023-07-01,287
is tiktok shop legit,5400,3600.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",15,2023-08-01,1430
is tiktok shop legit,5400,8100.0,"[   10    10    10    10    10    10    10    10    20    40   140   170
   210   480  3600  8100  9900 22200 14800 18100 12100 12100 14800 14800
 12100  9900  5400  5400  6600  9900  8100  5400  5400  5400  4400  4400
  3600  5400  5400  6600  6600  8100  8100  5400  4400  5400  5400  5400]",16,2023-09-01,4060
