vertical,month,searches,n_keywords
Trading cards / TCG,2022-06-01,1530,41
Trading cards / TCG,2022-07-01,1700,41
Trading cards / TCG,2022-08-01,1750,41
Trading cards / TCG,2022-09-01,1400,41
Trading cards / TCG,2022-10-01,1440,41
Trading cards / TCG,2022-11-01,1360,41
Trading cards / TCG,2022-12-01,1690,41
Trading cards / TCG,2023-01-01,2260,41
Trading cards / TCG,2023-02-01,2080,41
Trading cards / TCG,2023-03-01,2410,41
Trading cards / TCG,2023-04-01,2310,41
Trading cards / TCG,2023-05-01,2580,41
Trading cards / TCG,2023-06-01,2230,41
Trading cards / TCG,2023-07-01,2120,41
Trading cards / TCG,2023-08-01,1950,41
Trading cards / TCG,2023-09-01,1880,41
Trading cards / TCG,2023-10-01,1580,41
Trading cards / TCG,2023-11-01,1710,41
Trading cards / TCG,2023-12-01,1880,41
Trading cards / TCG,2024-01-01,2500,41
Trading cards / TCG,2024-02-01,2330,41
Trading cards / TCG,2024-03-01,2160,41
Trading cards / TCG,2024-04-01,2130,41
Trading cards / TCG,2024-05-01,1890,41
Trading cards / TCG,2024-06-01,2160,41
Trading cards / TCG,2024-07-01,4100,41
Trading cards / TCG,2024-08-01,4070,41
Trading cards / TCG,2024-09-01,4060,41
Trading cards / TCG,2024-10-01,5690,41
Trading cards / TCG,2024-11-01,8710,41
Trading cards / TCG,2024-12-01,2580,41
Trading cards / TCG,2025-01-01,5230,41
Trading cards / TCG,2025-02-01,3200,41
Trading cards / TCG,2025-03-01,2900,41
Trading cards / TCG,2025-04-01,2470,41
Trading cards / TCG,2025-05-01,2550,41
Trading cards / TCG,2025-06-01,2920,41
Trading cards / TCG,2025-07-01,3240,41
Trading cards / TCG,2025-08-01,3240,41
Trading cards / TCG,2025-09-01,3360,41
Trading cards / TCG,2025-10-01,2650,41
Trading cards / TCG,2025-11-01,2360,41
Trading cards / TCG,2025-12-01,2900,41
Trading cards / TCG,2026-01-01,3670,41
Trading cards / TCG,2026-02-01,3050,41
Trading cards / TCG,2026-03-01,3350,41
Trading cards / TCG,2026-04-01,2970,41
Trading cards / TCG,2026-05-01,3590,41
Sneakers,2022-06-01,50,1
Sneakers,2022-07-01,70,1
Sneakers,2022-08-01,70,1
Sneakers,2022-09-01,110,1
Sneakers,2022-10-01,170,1
Sneakers,2022-11-01,90,1
Sneakers,2022-12-01,90,1
Sneakers,2023-01-01,70,1
Sneakers,2023-02-01,70,1
Sneakers,2023-03-01,70,1
Sneakers,2023-04-01,70,1
Sneakers,2023-05-01,50,1
Sneakers,2023-06-01,70,1
Sneakers,2023-07-01,70,1
Sneakers,2023-08-01,140,1
Sneakers,2023-09-01,70,1
Sneakers,2023-10-01,90,1
Sneakers,2023-11-01,90,1
Sneakers,2023-12-01,90,1
Sneakers,2024-01-01,70,1
Sneakers,2024-02-01,70,1
Sneakers,2024-03-01,50,1
Sneakers,2024-04-01,50,1
Sneakers,2024-05-01,20,1
Sneakers,2024-06-01,90,1
Sneakers,2024-07-01,70,1
Sneakers,2024-08-01,70,1
Sneakers,2024-09-01,40,1
Sneakers,2024-10-01,40,1
Sneakers,2024-11-01,70,1
Sneakers,2024-12-01,70,1
Sneakers,2025-01-01,50,1
Sneakers,2025-02-01,90,1
Sneakers,2025-03-01,50,1
Sneakers,2025-04-01,70,1
Sneakers,2025-05-01,50,1
Sneakers,2025-06-01,50,1
Sneakers,2025-07-01,50,1
Sneakers,2025-08-01,40,1
Sneakers,2025-09-01,50,1
Sneakers,2025-10-01,70,1
Sneakers,2025-11-01,70,1
Sneakers,2025-12-01,110,1
Sneakers,2026-01-01,110,1
Sneakers,2026-02-01,90,1
Sneakers,2026-03-01,90,1
Sneakers,2026-04-01,70,1
Sneakers,2026-05-01,90,1
Jewelry,2022-06-01,100,7
Jewelry,2022-07-01,90,7
Jewelry,2022-08-01,90,7
Jewelry,2022-09-01,110,7
Jewelry,2022-10-01,90,7
Jewelry,2022-11-01,80,7
Jewelry,2022-12-01,110,7
Jewelry,2023-01-01,90,7
Jewelry,2023-02-01,110,7
Jewelry,2023-03-01,110,7
Jewelry,2023-04-01,100,7
Jewelry,2023-05-01,90,7
Jewelry,2023-06-01,120,7
Jewelry,2023-07-01,70,7
Jewelry,2023-08-01,100,7
Jewelry,2023-09-01,110,7
Jewelry,2023-10-01,80,7
Jewelry,2023-11-01,70,7
Jewelry,2023-12-01,70,7
Jewelry,2024-01-01,90,7
Jewelry,2024-02-01,90,7
Jewelry,2024-03-01,130,7
Jewelry,2024-04-01,90,7
Jewelry,2024-05-01,100,7
Jewelry,2024-06-01,110,7
Jewelry,2024-07-01,150,7
Jewelry,2024-08-01,170,7
Jewelry,2024-09-01,130,7
Jewelry,2024-10-01,120,7
Jewelry,2024-11-01,100,7
Jewelry,2024-12-01,110,7
Jewelry,2025-01-01,150,7
Jewelry,2025-02-01,110,7
Jewelry,2025-03-01,210,7
Jewelry,2025-04-01,150,7
Jewelry,2025-05-01,120,7
Jewelry,2025-06-01,120,7
Jewelry,2025-07-01,80,7
Jewelry,2025-08-01,120,7
Jewelry,2025-09-01,120,7
Jewelry,2025-10-01,130,7
Jewelry,2025-11-01,160,7
Jewelry,2025-12-01,150,7
Jewelry,2026-01-01,100,7
Jewelry,2026-02-01,130,7
Jewelry,2026-03-01,160,7
Jewelry,2026-04-01,130,7
Jewelry,2026-05-01,70,7
Beauty,2022-06-01,40,2
Beauty,2022-07-01,30,2
Beauty,2022-08-01,20,2
Beauty,2022-09-01,20,2
Beauty,2022-10-01,30,2
Beauty,2022-11-01,30,2
Beauty,2022-12-01,20,2
Beauty,2023-01-01,20,2
Beauty,2023-02-01,20,2
Beauty,2023-03-01,20,2
Beauty,2023-04-01,20,2
Beauty,2023-05-01,40,2
Beauty,2023-06-01,20,2
Beauty,2023-07-01,20,2
Beauty,2023-08-01,20,2
Beauty,2023-09-01,20,2
Beauty,2023-10-01,20,2
Beauty,2023-11-01,20,2
Beauty,2023-12-01,20,2
Beauty,2024-01-01,20,2
Beauty,2024-02-01,20,2
Beauty,2024-03-01,20,2
Beauty,2024-04-01,20,2
Beauty,2024-05-01,20,2
Beauty,2024-06-01,20,2
Beauty,2024-07-01,20,2
Beauty,2024-08-01,20,2
Beauty,2024-09-01,20,2
Beauty,2024-10-01,30,2
Beauty,2024-11-01,20,2
Beauty,2024-12-01,20,2
Beauty,2025-01-01,20,2
Beauty,2025-02-01,20,2
Beauty,2025-03-01,30,2
Beauty,2025-04-01,20,2
Beauty,2025-05-01,30,2
Beauty,2025-06-01,20,2
Beauty,2025-07-01,20,2
Beauty,2025-08-01,30,2
Beauty,2025-09-01,30,2
Beauty,2025-10-01,20,2
Beauty,2025-11-01,20,2
Beauty,2025-12-01,30,2
Beauty,2026-01-01,40,2
Beauty,2026-02-01,30,2
Beauty,2026-03-01,20,2
Beauty,2026-04-01,20,2
Beauty,2026-05-01,20,2
Fashion / apparel,2022-06-01,20,4
Fashion / apparel,2022-07-01,10,4
Fashion / apparel,2022-08-01,20,4
Fashion / apparel,2022-09-01,20,4
Fashion / apparel,2022-10-01,0,4
Fashion / apparel,2022-11-01,10,4
Fashion / apparel,2022-12-01,20,4
Fashion / apparel,2023-01-01,10,4
Fashion / apparel,2023-02-01,40,4
Fashion / apparel,2023-03-01,40,4
Fashion / apparel,2023-04-01,20,4
Fashion / apparel,2023-05-01,20,4
Fashion / apparel,2023-06-01,20,4
Fashion / apparel,2023-07-01,30,4
Fashion / apparel,2023-08-01,30,4
Fashion / apparel,2023-09-01,30,4
Fashion / apparel,2023-10-01,10,4
Fashion / apparel,2023-11-01,20,4
Fashion / apparel,2023-12-01,30,4
Fashion / apparel,2024-01-01,30,4
Fashion / apparel,2024-02-01,20,4
Fashion / apparel,2024-03-01,30,4
Fashion / apparel,2024-04-01,30,4
Fashion / apparel,2024-05-01,20,4
Fashion / apparel,2024-06-01,30,4
Fashion / apparel,2024-07-01,30,4
Fashion / apparel,2024-08-01,40,4
Fashion / apparel,2024-09-01,30,4
Fashion / apparel,2024-10-01,20,4
Fashion / apparel,2024-11-01,20,4
Fashion / apparel,2024-12-01,30,4
Fashion / apparel,2025-01-01,40,4
Fashion / apparel,2025-02-01,30,4
Fashion / apparel,2025-03-01,30,4
Fashion / apparel,2025-04-01,0,4
Fashion / apparel,2025-05-01,30,4
Fashion / apparel,2025-06-01,20,4
Fashion / apparel,2025-07-01,10,4
Fashion / apparel,2025-08-01,20,4
Fashion / apparel,2025-09-01,30,4
Fashion / apparel,2025-10-01,10,4
Fashion / apparel,2025-11-01,20,4
Fashion / apparel,2025-12-01,40,4
Fashion / apparel,2026-01-01,40,4
Fashion / apparel,2026-02-01,20,4
Fashion / apparel,2026-03-01,20,4
Fashion / apparel,2026-04-01,20,4
Fashion / apparel,2026-05-01,0,4
Collectibles / Funko,2022-06-01,40,4
Collectibles / Funko,2022-07-01,50,4
Collectibles / Funko,2022-08-01,40,4
Collectibles / Funko,2022-09-01,20,4
Collectibles / Funko,2022-10-01,30,4
Collectibles / Funko,2022-11-01,30,4
Collectibles / Funko,2022-12-01,30,4
Collectibles / Funko,2023-01-01,30,4
Collectibles / Funko,2023-02-01,30,4
Collectibles / Funko,2023-03-01,20,4
Collectibles / Funko,2023-04-01,20,4
Collectibles / Funko,2023-05-01,30,4
Collectibles / Funko,2023-06-01,30,4
Collectibles / Funko,2023-07-01,30,4
Collectibles / Funko,2023-08-01,10,4
Collectibles / Funko,2023-09-01,20,4
Collectibles / Funko,2023-10-01,30,4
Collectibles / Funko,2023-11-01,20,4
Collectibles / Funko,2023-12-01,20,4
Collectibles / Funko,2024-01-01,30,4
Collectibles / Funko,2024-02-01,20,4
Collectibles / Funko,2024-03-01,40,4
Collectibles / Funko,2024-04-01,20,4
Collectibles / Funko,2024-05-01,20,4
Collectibles / Funko,2024-06-01,30,4
Collectibles / Funko,2024-07-01,40,4
Collectibles / Funko,2024-08-01,20,4
Collectibles / Funko,2024-09-01,30,4
Collectibles / Funko,2024-10-01,30,4
Collectibles / Funko,2024-11-01,30,4
Collectibles / Funko,2024-12-01,20,4
Collectibles / Funko,2025-01-01,20,4
Collectibles / Funko,2025-02-01,20,4
Collectibles / Funko,2025-03-01,40,4
Collectibles / Funko,2025-04-01,10,4
Collectibles / Funko,2025-05-01,20,4
Collectibles / Funko,2025-06-01,20,4
Collectibles / Funko,2025-07-01,10,4
Collectibles / Funko,2025-08-01,20,4
Collectibles / Funko,2025-09-01,20,4
Collectibles / Funko,2025-10-01,10,4
Collectibles / Funko,2025-11-01,30,4
Collectibles / Funko,2025-12-01,20,4
Collectibles / Funko,2026-01-01,20,4
Collectibles / Funko,2026-02-01,20,4
Collectibles / Funko,2026-03-01,30,4
Collectibles / Funko,2026-04-01,40,4
Collectibles / Funko,2026-05-01,20,4
