keyword,avg_monthly_searches,n,month_counter,month,roll_avg
whatnot,673000,110000,1,2022-06-01,110000
whatnot,673000,135000,2,2022-07-01,122500
whatnot,673000,165000,3,2022-08-01,136667
whatnot,673000,165000,4,2022-09-01,155000
whatnot,673000,165000,5,2022-10-01,165000
whatnot,673000,135000,6,2022-11-01,155000
whatnot,673000,135000,7,2022-12-01,145000
whatnot,673000,165000,8,2023-01-01,145000
whatnot,673000,165000,9,2023-02-01,155000
whatnot,673000,165000,10,2023-03-01,165000
whatnot,673000,165000,11,2023-04-01,165000
whatnot,673000,165000,12,2023-05-01,165000
whatnot,673000,165000,13,2023-06-01,165000
whatnot,673000,165000,14,2023-07-01,165000
whatnot,673000,201000,15,2023-08-01,177000
whatnot,673000,165000,16,2023-09-01,177000
whatnot,673000,165000,17,2023-10-01,177000
whatnot,673000,165000,18,2023-11-01,165000
whatnot,673000,165000,19,2023-12-01,165000
whatnot,673000,201000,20,2024-01-01,177000
whatnot,673000,201000,21,2024-02-01,189000
whatnot,673000,201000,22,2024-03-01,201000
whatnot,673000,201000,23,2024-04-01,201000
whatnot,673000,201000,24,2024-05-01,201000
whatnot,673000,201000,25,2024-06-01,201000
whatnot,673000,201000,26,2024-07-01,201000
whatnot,673000,246000,27,2024-08-01,216000
whatnot,673000,201000,28,2024-09-01,216000
whatnot,673000,201000,29,2024-10-01,216000
whatnot,673000,246000,30,2024-11-01,216000
whatnot,673000,246000,31,2024-12-01,231000
whatnot,673000,368000,32,2025-01-01,286667
whatnot,673000,368000,33,2025-02-01,327333
whatnot,673000,450000,34,2025-03-01,395333
whatnot,673000,450000,35,2025-04-01,422667
whatnot,673000,450000,36,2025-05-01,450000
whatnot,673000,450000,37,2025-06-01,450000
whatnot,673000,550000,38,2025-07-01,483333
whatnot,673000,550000,39,2025-08-01,516667
whatnot,673000,550000,40,2025-09-01,550000
whatnot,673000,550000,41,2025-10-01,550000
whatnot,673000,550000,42,2025-11-01,550000
whatnot,673000,550000,43,2025-12-01,550000
whatnot,673000,673000,44,2026-01-01,591000
whatnot,673000,673000,45,2026-02-01,632000
whatnot,673000,673000,46,2026-03-01,673000
whatnot,673000,673000,47,2026-04-01,673000
whatnot,673000,823000,48,2026-05-01,723000
whatnot app,90500,18100,1,2022-06-01,18100
whatnot app,90500,18100,2,2022-07-01,18100
whatnot app,90500,22200,3,2022-08-01,19467
whatnot app,90500,18100,4,2022-09-01,19467
whatnot app,90500,18100,5,2022-10-01,19467
whatnot app,90500,14800,6,2022-11-01,17000
whatnot app,90500,18100,7,2022-12-01,17000
whatnot app,90500,22200,8,2023-01-01,18367
whatnot app,90500,18100,9,2023-02-01,19467
whatnot app,90500,18100,10,2023-03-01,19467
whatnot app,90500,14800,11,2023-04-01,17000
whatnot app,90500,18100,12,2023-05-01,17000
whatnot app,90500,14800,13,2023-06-01,15900
whatnot app,90500,18100,14,2023-07-01,17000
whatnot app,90500,18100,15,2023-08-01,17000
whatnot app,90500,14800,16,2023-09-01,17000
whatnot app,90500,14800,17,2023-10-01,15900
whatnot app,90500,14800,18,2023-11-01,14800
whatnot app,90500,12100,19,2023-12-01,13900
whatnot app,90500,14800,20,2024-01-01,13900
whatnot app,90500,14800,21,2024-02-01,13900
whatnot app,90500,14800,22,2024-03-01,14800
whatnot app,90500,14800,23,2024-04-01,14800
whatnot app,90500,14800,24,2024-05-01,14800
whatnot app,90500,18100,25,2024-06-01,15900
whatnot app,90500,22200,26,2024-07-01,18367
whatnot app,90500,22200,27,2024-08-01,20833
whatnot app,90500,22200,28,2024-09-01,22200
whatnot app,90500,18100,29,2024-10-01,20833
whatnot app,90500,27100,30,2024-11-01,22467
whatnot app,90500,27100,31,2024-12-01,24100
whatnot app,90500,49500,32,2025-01-01,34567
whatnot app,90500,40500,33,2025-02-01,39033
whatnot app,90500,49500,34,2025-03-01,46500
whatnot app,90500,60500,35,2025-04-01,50167
whatnot app,90500,60500,36,2025-05-01,56833
whatnot app,90500,60500,37,2025-06-01,60500
whatnot app,90500,74000,38,2025-07-01,65000
whatnot app,90500,74000,39,2025-08-01,69500
whatnot app,90500,74000,40,2025-09-01,74000
whatnot app,90500,74000,41,2025-10-01,74000
whatnot app,90500,74000,42,2025-11-01,74000
whatnot app,90500,74000,43,2025-12-01,74000
whatnot app,90500,110000,44,2026-01-01,86000
whatnot app,90500,90500,45,2026-02-01,91500
whatnot app,90500,90500,46,2026-03-01,97000
whatnot app,90500,90500,47,2026-04-01,90500
whatnot app,90500,74000,48,2026-05-01,85000
whatnot com,6600,1300,1,2022-06-01,1300
whatnot com,6600,1900,2,2022-07-01,1600
whatnot com,6600,1900,3,2022-08-01,1700
whatnot com,6600,2900,4,2022-09-01,2233
whatnot com,6600,2400,5,2022-10-01,2400
whatnot com,6600,1900,6,2022-11-01,2400
whatnot com,6600,2400,7,2022-12-01,2233
whatnot com,6600,3600,8,2023-01-01,2633
whatnot com,6600,2900,9,2023-02-01,2967
whatnot com,6600,3600,10,2023-03-01,3367
whatnot com,6600,3600,11,2023-04-01,3367
whatnot com,6600,2900,12,2023-05-01,3367
whatnot com,6600,2900,13,2023-06-01,3133
whatnot com,6600,2900,14,2023-07-01,2900
whatnot com,6600,3600,15,2023-08-01,3133
whatnot com,6600,2900,16,2023-09-01,3133
whatnot com,6600,2900,17,2023-10-01,3133
whatnot com,6600,2400,18,2023-11-01,2733
whatnot com,6600,2900,19,2023-12-01,2733
whatnot com,6600,2900,20,2024-01-01,2733
whatnot com,6600,3600,21,2024-02-01,3133
whatnot com,6600,4400,22,2024-03-01,3633
whatnot com,6600,4400,23,2024-04-01,4133
whatnot com,6600,4400,24,2024-05-01,4400
whatnot com,6600,4400,25,2024-06-01,4400
whatnot com,6600,5400,26,2024-07-01,4733
whatnot com,6600,4400,27,2024-08-01,4733
whatnot com,6600,4400,28,2024-09-01,4733
whatnot com,6600,4400,29,2024-10-01,4400
whatnot com,6600,4400,30,2024-11-01,4400
whatnot com,6600,4400,31,2024-12-01,4400
whatnot com,6600,5400,32,2025-01-01,4733
whatnot com,6600,5400,33,2025-02-01,5067
whatnot com,6600,6600,34,2025-03-01,5800
whatnot com,6600,5400,35,2025-04-01,5800
whatnot com,6600,5400,36,2025-05-01,5800
whatnot com,6600,5400,37,2025-06-01,5400
whatnot com,6600,5400,38,2025-07-01,5400
whatnot com,6600,5400,39,2025-08-01,5400
whatnot com,6600,5400,40,2025-09-01,5400
whatnot com,6600,6600,41,2025-10-01,5800
whatnot com,6600,5400,42,2025-11-01,5800
whatnot com,6600,6600,43,2025-12-01,6200
whatnot com,6600,8100,44,2026-01-01,6700
whatnot com,6600,6600,45,2026-02-01,7100
whatnot com,6600,8100,46,2026-03-01,7600
whatnot com,6600,8100,47,2026-04-01,7600
whatnot com,6600,8100,48,2026-05-01,8100
whatnot live,320,90,1,2022-06-01,90
whatnot live,320,70,2,2022-07-01,80
whatnot live,320,140,3,2022-08-01,100
whatnot live,320,90,4,2022-09-01,100
whatnot live,320,90,5,2022-10-01,107
whatnot live,320,50,6,2022-11-01,77
whatnot live,320,70,7,2022-12-01,70
whatnot live,320,110,8,2023-01-01,77
whatnot live,320,70,9,2023-02-01,83
whatnot live,320,90,10,2023-03-01,90
whatnot live,320,110,11,2023-04-01,90
whatnot live,320,170,12,2023-05-01,123
whatnot live,320,140,13,2023-06-01,140
whatnot live,320,70,14,2023-07-01,127
whatnot live,320,90,15,2023-08-01,100
whatnot live,320,90,16,2023-09-01,83
whatnot live,320,90,17,2023-10-01,90
whatnot live,320,90,18,2023-11-01,90
whatnot live,320,90,19,2023-12-01,90
whatnot live,320,140,20,2024-01-01,107
whatnot live,320,140,21,2024-02-01,123
whatnot live,320,110,22,2024-03-01,130
whatnot live,320,90,23,2024-04-01,113
whatnot live,320,90,24,2024-05-01,97
whatnot live,320,90,25,2024-06-01,90
whatnot live,320,140,26,2024-07-01,107
whatnot live,320,110,27,2024-08-01,113
whatnot live,320,90,28,2024-09-01,113
whatnot live,320,140,29,2024-10-01,113
whatnot live,320,170,30,2024-11-01,133
whatnot live,320,110,31,2024-12-01,140
whatnot live,320,170,32,2025-01-01,150
whatnot live,320,170,33,2025-02-01,150
whatnot live,320,210,34,2025-03-01,183
whatnot live,320,210,35,2025-04-01,197
whatnot live,320,260,36,2025-05-01,227
whatnot live,320,260,37,2025-06-01,243
whatnot live,320,210,38,2025-07-01,243
whatnot live,320,320,39,2025-08-01,263
whatnot live,320,260,40,2025-09-01,263
whatnot live,320,260,41,2025-10-01,280
whatnot live,320,260,42,2025-11-01,260
whatnot live,320,320,43,2025-12-01,280
whatnot live,320,390,44,2026-01-01,323
whatnot live,320,390,45,2026-02-01,367
whatnot live,320,480,46,2026-03-01,420
whatnot live,320,390,47,2026-04-01,420
whatnot live,320,390,48,2026-05-01,420
whatnot selling,390,260,1,2022-06-01,260
whatnot selling,390,260,2,2022-07-01,260
whatnot selling,390,260,3,2022-08-01,260
whatnot selling,390,210,4,2022-09-01,243
whatnot selling,390,210,5,2022-10-01,227
whatnot selling,390,170,6,2022-11-01,197
whatnot selling,390,210,7,2022-12-01,197
whatnot selling,390,390,8,2023-01-01,257
whatnot selling,390,260,9,2023-02-01,287
whatnot selling,390,320,10,2023-03-01,323
whatnot selling,390,320,11,2023-04-01,300
whatnot selling,390,210,12,2023-05-01,283
whatnot selling,390,210,13,2023-06-01,247
whatnot selling,390,210,14,2023-07-01,210
whatnot selling,390,210,15,2023-08-01,210
whatnot selling,390,170,16,2023-09-01,197
whatnot selling,390,140,17,2023-10-01,173
whatnot selling,390,210,18,2023-11-01,173
whatnot selling,390,210,19,2023-12-01,187
whatnot selling,390,320,20,2024-01-01,247
whatnot selling,390,320,21,2024-02-01,283
whatnot selling,390,260,22,2024-03-01,300
whatnot selling,390,260,23,2024-04-01,280
whatnot selling,390,260,24,2024-05-01,260
whatnot selling,390,260,25,2024-06-01,260
whatnot selling,390,260,26,2024-07-01,260
